Name,Division,Wins,Loses,Draws,Nickname,Height,Weight,Reach,Stance,DOB
Danyelle Wolf,Women's Featherweight,1,0,0,NA,"5' 11""",145 lbs.,"70""",Orthodox,1983-09-08
Darko Stosic,Light Heavyweight,13,4,0,NA,"6' 0""",205 lbs.,"76""",Orthodox,1992-02-09
Darrell Horcher,Lightweight,13,4,0,The Saint,"5' 10""",155 lbs.,"70""",Southpaw,1987-07-28
Darren Elkins,Featherweight,27,9,0,The Damage,"5' 10""",145 lbs.,"71""",Orthodox,1984-05-16
Darren Stewart,Light Heavyweight,12,7,0,The Dentist,"6' 0""",185 lbs.,"74""",Orthodox,1990-12-30
Darren Till,Middleweight,18,3,1,The Gorilla,"6' 0""",185 lbs.,"74""",Southpaw,1992-12-24
Darrick Minner,Featherweight,26,12,0,NA,"5' 7""",145 lbs.,"69""",Orthodox,1990-04-28
Davey Grant,Bantamweight,13,5,0,Dangerous,"5' 8""",135 lbs.,"69""",Orthodox,1985-12-18
Davi Ramos,Lightweight,10,4,0,Tasmanian Devil,"5' 6""",155 lbs.,"70""",Orthodox,1986-11-05
David Branch,Middleweight,22,6,0,NA,"6' 1""",185 lbs.,"78""",Orthodox,1981-09-26
David Dvorak,Flyweight,20,3,0,Undertaker,"5' 5""",125 lbs.,"68""",Orthodox,1992-06-05
David Teymur,Lightweight,8,2,0,NA,"5' 9""",155 lbs.,"73""",Southpaw,1989-05-01
David Zawada,Welterweight,17,6,0,Sagat,"6' 0""",170 lbs.,"75""",Orthodox,1990-08-01
Deiveson Figueiredo,Flyweight,20,2,1,Deus da Guerra,"5' 5""",125 lbs.,"68""",Orthodox,1987-12-18
Demian Maia,Welterweight,28,11,0,NA,"6' 1""",170 lbs.,"72""",Southpaw,1977-11-06
Dennis Bermudez,Lightweight,18,9,0,The Menace,"5' 6""",155 lbs.,"66""",Orthodox,1986-12-13
Denys Bondar,Flyweight,12,1,0,Psycho,"5' 6""",125 lbs.,,Orthodox,1992-06-27
Dequan Townsend,Middleweight,21,12,0,The Tarantula,"6' 3""",205 lbs.,"79""",Orthodox,1986-05-11
Derek Brunson,Middleweight,22,7,0,NA,"6' 1""",185 lbs.,"77""",Southpaw,1984-01-04
Deron Winn,Catchweight,6,2,0,NA,"5' 6""",185 lbs.,"70""",Orthodox,1989-06-13
Derrick Krantz,Welterweight,24,11,0,D-Rock,"5' 10""",170 lbs.,"72""",Orthodox,1988-01-13
Derrick Lewis,Heavyweight,25,7,0,The Black Beast,"6' 3""",260 lbs.,"79""",Orthodox,1985-02-07
Desmond Green,Lightweight,23,7,0,The Predator,"5' 10""",155 lbs.,"73""",Southpaw,1989-10-11
Devin Clark,Light Heavyweight,12,5,0,Brown Bear,"6' 0""",205 lbs.,"75""",Orthodox,1990-04-12
Devin Powell,Lightweight,9,4,0,NA,"6' 0""",155 lbs.,"73""",Orthodox,1988-03-01
Devonte Smith,Lightweight,11,2,0,King Kage,"5' 9""",155 lbs.,"76""",Orthodox,1993-07-30
Dhiego Lima,Welterweight,17,9,0,NA,"6' 2""",170 lbs.,"75""",Orthodox,1989-01-31
Diana Belbita,Women's Strawweight,14,6,0,The Warrior Princess,"5' 7""",125 lbs.,"68""",Orthodox,1996-06-26
Diego Ferreira,Lightweight,17,4,0,NA,"5' 9""",155 lbs.,"74""",Orthodox,1985-01-18
Diego Sanchez,Welterweight,31,13,0,Nightmare,"5' 10""",170 lbs.,"72""",Southpaw,1981-12-31
Dion Staring,Heavyweight,0,0,0,Soldier,"6' 1""",235 lbs.,,Orthodox,1978-06-09
Dmitriy Sosnovskiy,Heavyweight,10,0,0,NA,"6' 3""",240 lbs.,"77""",Orthodox,1989-07-06
Dmitry Smoliakov,Heavyweight,9,2,0,The Lifeguard,"6' 2""",253 lbs.,"74""",Switch,1982-08-05
Domingo Pilarte,Bantamweight,9,2,0,Son of Fire,"6' 0""",135 lbs.,"73""",Southpaw,1990-01-05
Dominick Cruz,Bantamweight,23,3,0,The Dominator,"5' 8""",135 lbs.,"68""",Orthodox,1985-03-09
Dominick Reyes,Light Heavyweight,12,3,0,The Devastator,"6' 4""",205 lbs.,"77""",Southpaw,1989-12-26
Don Madge,Lightweight,9,3,1,Magic Man,"6' 0""",155 lbs.,"72""",Southpaw,1990-11-12
Donald Cerrone,Welterweight,36,16,0,Cowboy,"6' 1""",155 lbs.,"73""",Orthodox,1983-03-29
Dong Hyun Kim,Welterweight,22,4,1,The Stun Gun,"6' 2""",170 lbs.,"76""",Southpaw,1981-11-17
Dong Hyun Ma,Lightweight,16,11,3,Maestro,"5' 11""",155 lbs.,"70""",Orthodox,1988-09-09
Dongi Yang,Middleweight,12,3,0,The Ox,"5' 10""",185 lbs.,"73""",Southpaw,1984-12-07
Don'Tale Mayes,Heavyweight,8,4,0,Lord Kong,"6' 6""",260 lbs.,"81""",Orthodox,1992-01-16
Doo Ho Choi,Featherweight,14,3,0,The Korean Superboy,"5' 10""",145 lbs.,"70""",Orthodox,1991-04-10
Doug Marshall,Light Heavyweight,7,2,0,The Rhino,"5' 10""",205 lbs.,,Orthodox,1975-09-09
Douglas Silva de Andrade,Featherweight,26,4,0,D Silva,"5' 7""",145 lbs.,"68""",Orthodox,1985-06-22
Drakkar Klose,Lightweight,11,2,1,NA,"5' 9""",155 lbs.,"70""",Orthodox,1988-03-09
Drako Rodriguez,Bantamweight,7,2,0,NA,"5' 8""",135 lbs.,"69""",Orthodox,1996-06-16
Drew Dober,Lightweight,23,11,0,NA,"5' 8""",155 lbs.,"70""",Southpaw,1988-10-19
Drew Fickett,Welterweight,31,5,0,The Master,"5' 10""",155 lbs.,"70""",Orthodox,1979-12-14
Dricus Du Plessis,Middleweight,16,2,0,Stillknocks,"6' 1""",185 lbs.,"76""",Switch,1994-01-14
Duda Santana,,3,1,0,Cowboyzinha,"5' 7""",145 lbs.,"73""",Orthodox,1996-01-10
Dusko Todorovic,Middleweight,10,2,0,Thunder,"6' 1""",185 lbs.,"74""",Orthodox,1994-05-19
Dustin Jacoby,Light Heavyweight,14,5,1,The Hanyak,"6' 3""",205 lbs.,"76""",Orthodox,1988-04-04
Dustin Joynson,Heavyweight,0,0,0,NA,"6' 6""",244 lbs.,"78""",Orthodox,1985-10-14
Dustin Ortiz,Flyweight,19,8,0,NA,"5' 5""",125 lbs.,"65""",Orthodox,1988-12-25
Dustin Poirier,Lightweight,28,6,0,The Diamond,"5' 9""",155 lbs.,"72""",Southpaw,1989-01-19
Dustin Stoltzfus,Middleweight,13,3,0,NA,"6' 0""",185 lbs.,"75""",Orthodox,1991-11-15
Dwight Grant,Welterweight,11,3,0,The Body Snatcher,"6' 1""",170 lbs.,"76""",Switch,1984-09-14
Ed Herman,Light Heavyweight,27,14,0,Short Fuse,"6' 1""",205 lbs.,"77""",Orthodox,1980-10-02
Eddie Alvarez,Lightweight,29,6,0,The Underground King,"5' 9""",155 lbs.,"69""",Orthodox,1984-01-11
Eddie Wineland,Bantamweight,24,15,1,NA,"5' 7""",135 lbs.,"69""",Orthodox,1984-06-26
Edmen Shahbazyan,Middleweight,11,2,0,The Golden Boy,"6' 2""",185 lbs.,"74""",Orthodox,1997-11-20
Edson Barboza,Featherweight,22,9,0,Junior,"5' 11""",145 lbs.,"75""",Orthodox,1986-01-21
Edson Gomez,Welterweight,0,0,0,NA,"5' 8""",170 lbs.,"69""",Switch,1991-02-23
Elias Garcia,Flyweight,6,2,0,NA,"5' 5""",125 lbs.,"67""",Southpaw,1992-09-13
Elias Theodorou,Middleweight,17,3,0,The Spartan,"6' 1""",185 lbs.,"75""",Orthodox,1988-05-31
Elias Urbina,Middleweight,3,1,0,NA,"6' 3""",185 lbs.,"77""",Southpaw,1993-10-09
Elise Reed,Women's Flyweight,0,1,0,NA,,,,,
Elizeu Zaleski dos Santos,Welterweight,22,7,0,Capoeira,"5' 11""",170 lbs.,"73""",Orthodox,1986-12-11
Emil Meek,Welterweight,9,5,1,Valhalla,"5' 11""",170 lbs.,"74""",Switch,1988-08-20
Emily Whitmire,Women's Strawweight,4,3,0,Spitfire,"5' 5""",115 lbs.,"63""",Orthodox,1991-05-24
Enrique Barzola,Bantamweight,17,5,2,El Fuerte,"5' 7""",145 lbs.,"70""",Orthodox,1989-04-28
Eric Shelton,Flyweight,12,6,0,Showtime,"5' 6""",125 lbs.,"68""",Orthodox,1991-02-02
Eric Spicely,Middleweight,12,6,0,Zebrinha,"6' 1""",185 lbs.,"73""",Orthodox,1986-09-29
Ericka Almeida,Women's Strawweight,7,2,0,NA,"5' 6""",115 lbs.,,Orthodox,1989-03-05
Erik Koch,Welterweight,16,6,0,New Breed,"5' 10""",170 lbs.,"71""",Southpaw,1988-10-04
Erin Blanchfield,Women's Bantamweight,6,1,0,Cold Blooded,,,,,
Eryk Anders,Light Heavyweight,14,5,0,Ya Boi,"6' 1""",185 lbs.,"75""",Southpaw,1987-04-21
Evan Dunham,Lightweight,18,8,1,NA,"5' 10""",155 lbs.,"70""",Southpaw,1981-12-18
Fabio Cherant,Light Heavyweight,7,2,0,Water Buffalo,"6' 1""",205 lbs.,,Southpaw,1994-11-25
Fabricio Werdum,Heavyweight,24,8,1,Vai Cavalo,"6' 4""",231 lbs.,"77""",Orthodox,1977-07-30
Fares Ziam,Lightweight,12,3,0,Smile Killer,"6' 1""",155 lbs.,"75""",Orthodox,1997-03-21
Felice Herrig,Women's Strawweight,14,9,0,Lil Bulldog,"5' 4""",115 lbs.,"65""",Orthodox,1984-09-18
Felicia Spencer,Women's Featherweight,8,3,0,FeeNom,"5' 6""",145 lbs.,"68""",Orthodox,1990-11-29
Felipe Dias Colares,Featherweight,10,2,0,Cabocao,"5' 8""",135 lbs.,"69""",Orthodox,1994-03-31
Felipe Silva,Lightweight,8,2,0,NA,"6' 0""",155 lbs.,"77""",Orthodox,1984-05-08
Forrest Griffin,Light Heavyweight,19,7,0,NA,"6' 3""",205 lbs.,"77""",Orthodox,1979-03-16
Francis Ngannou,Heavyweight,16,3,0,The Predator,"6' 4""",250 lbs.,"83""",Orthodox,1986-09-05
Francisco Figueiredo,Flyweight,12,4,1,Sniper,"5' 6""",135 lbs.,"69""",Southpaw,1989-10-23
Francisco Trinaldo,Welterweight,26,8,0,Massaranduba,"5' 9""",155 lbs.,"70""",Southpaw,1978-08-24
Frank Camacho,Lightweight,22,9,0,The Crank,"5' 10""",170 lbs.,"73""",Orthodox,1989-05-18
Frankie Edgar,Bantamweight,23,9,1,The Answer,"5' 6""",135 lbs.,"68""",Orthodox,1981-10-16
Frankie Saenz,Bantamweight,13,6,0,NA,"5' 6""",135 lbs.,"66""",Orthodox,1980-08-12
Gabriel Benitez,Featherweight,22,10,0,Moggly,"5' 8""",155 lbs.,"71""",Southpaw,1988-06-15
Gabriel Green,Welterweight,10,3,0,Gifted,,,,,
Gabriel Silva,Bantamweight,7,2,0,NA,"5' 6""",135 lbs.,"71""",Orthodox,1994-08-26
Gadzhimurad Antigulov,Light Heavyweight,20,8,0,NA,"5' 11""",205 lbs.,"70""",Orthodox,1987-02-09
Gaetano Pirrello,Bantamweight,15,6,1,El Tigre,"5' 7""",135 lbs.,,Orthodox,1992-04-29
Gavin Tucker,Featherweight,13,2,0,Guv'nor,"5' 6""",145 lbs.,"66""",Southpaw,1986-06-17
Geoff Neal,Welterweight,13,4,0,Handz of Steel,"5' 11""",170 lbs.,"75""",Southpaw,1990-08-28
George Sullivan,Welterweight,17,7,0,The Silencer,"6' 0""",170 lbs.,"73""",Orthodox,1981-03-13
Georges St. Pierre,Middleweight,26,2,0,Rush,"5' 11""",185 lbs.,"76""",Orthodox,1981-05-19
Gerald Meerschaert,Middleweight,32,14,0,GM3,"6' 1""",185 lbs.,"77""",Southpaw,1987-12-18
Geraldo de Freitas Jr.,Bantamweight,12,6,0,Spartan,"5' 7""",135 lbs.,"72""",Orthodox,1991-09-30
Germaine de Randamie,Women's Bantamweight,10,4,0,The Iron Lady,"5' 9""",135 lbs.,"71""",Orthodox,1984-04-24
Giacomo Lemos,Heavyweight,6,0,0,The Viking,"6' 3""",247 lbs.,"75""",Orthodox,1989-06-23
Gian Villante,Heavyweight,17,13,0,NA,"6' 3""",230 lbs.,"76""",Orthodox,1985-08-18
Giga Chikadze,Featherweight,13,2,0,NA,"6' 0""",145 lbs.,"74""",Orthodox,1988-08-25
Gilbert Burns,Welterweight,20,4,0,Durinho,"5' 10""",170 lbs.,"71""",Orthodox,1986-07-20
Gilbert Melendez,Lightweight,22,7,0,El Niño,"5' 9""",145 lbs.,"73""",Orthodox,1982-04-12
Gillian Robertson,Women's Flyweight,9,6,0,The Savage,"5' 5""",125 lbs.,"63""",Orthodox,1995-05-17
Gina Mazany,Women's Flyweight,7,5,0,Danger,"5' 6""",125 lbs.,"68""",Southpaw,1988-08-19
Gloria de Paula,Women's Strawweight,5,3,0,Glorinha,"5' 5""",115 lbs.,"67""",Orthodox,1995-06-10
Glover Teixeira,Light Heavyweight,31,7,0,NA,"6' 2""",205 lbs.,"76""",Orthodox,1979-10-28
Gokhan Saki,Light Heavyweight,1,2,0,The Rebel,"6' 0""",205 lbs.,"73""",Orthodox,1983-10-19
Grant Dawson,Lightweight,17,1,0,KGD,"5' 10""",145 lbs.,"72""",Switch,1994-02-20
Gray Maynard,Featherweight,14,8,1,NA,"5' 9""",155 lbs.,"70""",Orthodox,1979-05-09
Greg Hardy,Heavyweight,9,4,0,Prince of War,"6' 5""",265 lbs.,"80""",Orthodox,1988-07-28
Gregor Gillespie,Lightweight,14,1,0,The Gift,"5' 7""",155 lbs.,"71""",Orthodox,1986-11-13
Gregory Rodrigues,Middleweight,10,3,0,Robocop,"6' 3""",185 lbs.,"75""",Orthodox,1992-02-17
Grigory Popov,Bantamweight,13,3,0,NA,"5' 7""",135 lbs.,"68""",Switch,1984-04-18
Guan Wang,Featherweight,20,1,1,The Dongbei Tiger,"5' 9""",145 lbs.,"71""",Orthodox,1986-03-14
Guido Cannetti,Bantamweight,8,5,0,Ninja,"5' 6""",135 lbs.,"68""",Southpaw,1979-12-19
Gunnar Nelson,Welterweight,17,5,1,Gunni,"5' 11""",170 lbs.,"72""",Switch,1988-07-28
Guram Kutateladze,Lightweight,12,2,0,Georgian Viking,"5' 11""",155 lbs.,"72""",Orthodox,1992-01-08
Gustavo Lopez,Bantamweight,12,6,0,NA,"5' 5""",135 lbs.,"67""",Orthodox,1989-06-27
Hakeem Dawodu,Featherweight,12,2,1,Mean,"5' 8""",145 lbs.,"73""",Orthodox,1991-07-02
Hannah Cifers,Women's Strawweight,10,6,0,Shockwave,"5' 1""",115 lbs.,"62""",Orthodox,1992-06-26
Hannah Goldy,Women's Strawweight,5,2,0,24K,"5' 4""",125 lbs.,"61""",Orthodox,1992-05-18
Harry Hunsucker,Heavyweight,7,4,0,The Hurricane,"6' 2""",241 lbs.,"75""",Orthodox,1989-01-03
Hector Aldana,Welterweight,4,2,0,El Charro,"5' 11""",170 lbs.,"72""",Orthodox,1988-08-17
Hector Lombard,Middleweight,34,9,1,Showeather,"5' 9""",185 lbs.,"71""",Southpaw,1978-02-02
Hector Sandoval,Flyweight,14,4,0,Kid Alex,"5' 2""",125 lbs.,"64""",Orthodox,1986-07-19
Heili Alateng,Bantamweight,14,8,0,The Mongolian Knight,"5' 5""",135 lbs.,"66""",Orthodox,1991-12-14
Henry Cejudo,Bantamweight,16,2,0,The Messenger,"5' 4""",135 lbs.,"64""",Orthodox,1987-02-09
Herbert Burns,Featherweight,11,3,0,The Blaze,"5' 9""",145 lbs.,"73""",Orthodox,1988-02-02
Holly Holm,Women's Bantamweight,14,5,0,The Preacher's Daughter,"5' 8""",135 lbs.,"69""",Southpaw,1981-10-17
Humberto Bandenay,Featherweight,14,7,0,NA,"5' 11""",145 lbs.,"71""",Southpaw,1994-09-04
Hunter Azure,Bantamweight,9,2,0,NA,"5' 8""",145 lbs.,"69""",Orthodox,1992-03-02
Ian Heinisch,Middleweight,14,5,0,The Hurricane,"5' 11""",185 lbs.,"72""",Orthodox,1988-08-05
Ignacio Bahamondes,Lightweight,11,4,0,La Jaula,"6' 3""",170 lbs.,"75""",Orthodox,1997-08-27
Ihor Potieria,Light Heavyweight,0,0,0,NA,,,,,
Ilia Topuria,Featherweight,11,0,0,NA,"5' 7""",145 lbs.,"69""",Orthodox,1997-01-21
Ilir Latifi,Heavyweight,16,8,0,The Sledgehammer,"5' 10""",205 lbs.,"73""",Orthodox,1983-07-28
Impa Kasanganay,Welterweight,9,1,0,Tshilobo,"5' 11""",185 lbs.,"75""",Orthodox,1994-01-17
Ion Cutelaba,Light Heavyweight,15,6,1,The Hulk,"6' 1""",205 lbs.,"75""",Southpaw,1993-12-14
Irene Aldana,Women's Bantamweight,13,6,0,NA,"5' 9""",135 lbs.,"68""",Orthodox,1988-03-26
Irwin Rivera,Bantamweight,10,5,0,The Beast,"5' 6""",135 lbs.,"67""",Southpaw,1989-02-14
Isaac Villanueva,Light Heavyweight,18,12,0,Hurricane,,,,,
Isabela de Padua,Flyweight,0,1,0,Belinha,"5' 3""",125 lbs.,"64""",Orthodox,1991-09-04
Islam Makhachev,Lightweight,20,1,0,NA,"5' 10""",155 lbs.,"70""",Southpaw,1991-10-27
Ismail Naurdiev,Welterweight,19,4,0,The Austrian Wonderboy,"5' 10""",170 lbs.,"74""",Orthodox,1996-08-18
Israel Adesanya,Middleweight,21,1,0,The Last Stylebender,"6' 4""",185 lbs.,"80""",Switch,1989-07-22
Istela Nunes,Strawweight,0,0,0,NA,"5' 4""",115 lbs.,,,1992-07-23
Iuri Alcantara,Bantamweight,35,10,0,Marajo,"5' 9""",135 lbs.,"71""",Southpaw,1980-08-04
Ivan Shtyrkov,Light Heavyweight,16,0,1,Ural Hulk,"6' 0""",205 lbs.,"74""",Orthodox,1988-06-09
J.C. Cottrell,Lightweight,17,5,0,Superstar,,,,,
Jack Hermansson,Middleweight,22,6,0,The Joker,"6' 1""",185 lbs.,"77""",Orthodox,1988-06-10
Jack Marshman,Middleweight,23,10,0,The Hammer,"6' 0""",185 lbs.,"73""",Orthodox,1989-12-19
Jack Shore,Bantamweight,14,0,0,Tank,"5' 8""",135 lbs.,"71""",Orthodox,1995-02-06
Jacob Kilburn,Featherweight,8,4,0,The Killer,"5' 9""",145 lbs.,"72""",Orthodox,1995-06-28
Jacob Malkoun,Middleweight,5,1,0,Mamba,"5' 9""",185 lbs.,"73""",Orthodox,1995-08-26
Jai Herbert,Lightweight,10,3,0,Black Country Banger,"6' 1""",155 lbs.,"77""",Orthodox,1988-05-13
Jairzinho Rozenstruik,Heavyweight,12,2,0,Bigi Boy,"6' 4""",242 lbs.,"78""",Orthodox,1988-03-17
Jake Collier,Heavyweight,12,6,0,The Prototype,"6' 3""",230 lbs.,"78""",Orthodox,1988-10-25
Jake Ellenberger,Welterweight,31,15,0,The Juggernaut,"5' 9""",170 lbs.,"71""",Orthodox,1985-03-28
Jake Matthews,Welterweight,17,5,0,The Celtic Kid,"5' 11""",170 lbs.,"73""",Orthodox,1994-08-19
Jalin Turner,Lightweight,9,5,0,The Tarantula,"6' 3""",155 lbs.,"77""",Southpaw,1995-05-18
Jamahal Hill,Light Heavyweight,8,1,0,Sweet Dreams,"6' 4""",205 lbs.,"79""",Southpaw,1991-05-19
Jamall Emmers,Featherweight,18,5,0,Pretty Boy,"5' 10""",145 lbs.,"74""",Orthodox,1989-07-24
James Krause,Welterweight,28,9,0,The James Krause,"6' 2""",170 lbs.,"73""",Orthodox,1986-06-04
James Te Huna,Middleweight,18,9,0,NA,"6' 2""",185 lbs.,"75""",Orthodox,1981-09-29
James Terry,Lightweight,0,0,0,Intensity,"5' 10""",170 lbs.,,Orthodox,1981-03-16
James Vick,Welterweight,13,5,0,The Texecutioner,"6' 3""",155 lbs.,"76""",Orthodox,1987-02-23
Jamey Simmons,Bantamweight,7,3,0,The Afro Samurai,"5' 6""",145 lbs.,"70""",Orthodox,1992-09-11
Jamey-Lyn Horth,Women's Flyweight,0,0,0,NA,"5' 7""",125 lbs.,,,1990-03-30
Jamie Mullarkey,Lightweight,13,4,0,NA,"6' 0""",155 lbs.,"74""",Orthodox,1994-08-17
Jamie Pickett,Middleweight,11,6,0,The Night Wolf,"6' 2""",185 lbs.,"80""",Orthodox,1988-08-29
Jan Blachowicz,Light Heavyweight,28,8,0,NA,"6' 2""",205 lbs.,"78""",Orthodox,1983-02-24
Jared Cannonier,Middleweight,13,4,0,Tha Killa Gorilla,"5' 11""",185 lbs.,"77""",Switch,1984-03-16
Jared Gooden,Welterweight,17,6,0,NiteTrain,"6' 0""",170 lbs.,"77""",Orthodox,1993-12-05
Jared Gordon,Featherweight,17,4,0,Flash,"5' 9""",145 lbs.,"68""",Orthodox,1988-09-06
Jared Vanderaa,Heavyweight,12,5,0,NA,"6' 4""",260 lbs.,"80""",Orthodox,1992-05-12
Jarjis Danho,Heavyweight,7,1,1,Man Mountain,"6' 3""",265 lbs.,"74""",Orthodox,1983-10-15
Jarred Brooks,Flyweight,14,2,0,The Monkey God,"5' 3""",125 lbs.,"62""",Switch,1993-05-02
Jason Gonzalez,Lightweight,11,4,0,Nicoya,"6' 2""",155 lbs.,"74""",Southpaw,1990-02-28
Jason Miller,Welterweight,24,10,0,Mayhem,"6' 1""",185 lbs.,,Orthodox,1980-12-24
Jason Witt,Welterweight,18,7,0,The Vanilla Gorilla,"5' 10""",170 lbs.,"70""",Orthodox,1986-11-07
Jeff Hughes,Heavyweight,10,3,0,Lights Out,"6' 2""",250 lbs.,"77""",Orthodox,1988-05-17
Jeff Molina,Flyweight,9,2,0,El Jefe,,,,,
Jennifer Maia,Women's Flyweight,19,7,1,NA,"5' 4""",125 lbs.,"64""",Orthodox,1988-10-06
Jeremiah Wells,Welterweight,9,2,1,NA,"5' 9""",170 lbs.,,,1986-10-30
Jeremy Stephens,Lightweight,29,18,0,Lil' Heathen,"5' 9""",145 lbs.,"71""",Orthodox,1986-05-25
Jerome Rivera,Flyweight,10,6,0,Renegade,"5' 10""",145 lbs.,"72""",Southpaw,1995-04-22
Jesse Ronson,Welterweight,14,5,0,The Body Snatcher,"5' 10""",170 lbs.,"70""",Southpaw,1985-12-24
Jesse Strader,Bantamweight,5,2,0,Sui Generis,"5' 7""",135 lbs.,"70""",Orthodox,1991-05-29
Jesse Taylor,Middleweight,32,15,0,JT Money,"6' 0""",170 lbs.,"73""",Orthodox,1983-01-02
Jessica Aguilar,Women's Strawweight,20,8,0,Jag,"5' 3""",115 lbs.,"63""",Orthodox,1982-05-08
Jessica Andrade,Women's Flyweight,21,9,0,Bate Estaca,"5' 1""",115 lbs.,"62""",Orthodox,1991-09-25
Jessica Eye,Women's Flyweight,15,10,0,Evil,"5' 6""",125 lbs.,"66""",Orthodox,1986-07-27
Jessica Penne,Women's Strawweight,13,6,0,NA,"5' 5""",115 lbs.,"67""",Orthodox,1983-01-30
Jessica-Rose Clark,Women's Bantamweight,9,6,0,Jessy Jess,"5' 5""",125 lbs.,"64""",Orthodox,1987-11-28
Jessin Ayari,Lightweight,16,6,0,NA,"6' 0""",155 lbs.,"73""",Orthodox,1992-05-31
Jesus Pinedo,Lightweight,16,5,1,El Mudo,"5' 10""",155 lbs.,,Southpaw,1996-06-22
Ji Yeon Kim,Women's Flyweight,9,3,2,Firefist,"5' 7""",125 lbs.,"72""",Orthodox,1989-10-18
Jingliang Li,Welterweight,18,6,0,The Leech,"6' 0""",170 lbs.,"71""",Orthodox,1988-03-20
Jim Hettes,Featherweight,11,3,0,The Kid,"5' 9""",145 lbs.,"71""",Southpaw,1987-06-09
Jim Miller,Lightweight,32,16,0,A-10,"5' 8""",155 lbs.,"71""",Southpaw,1983-08-30
Jimi Manuwa,Light Heavyweight,17,6,0,Poster Boy,"6' 1""",205 lbs.,"79""",Orthodox,1980-02-18
Jimmie Rivera,Bantamweight,23,5,0,El Terror,"5' 4""",135 lbs.,"68""",Orthodox,1989-06-29
Jimmy Crute,Light Heavyweight,12,2,0,NA,"6' 2""",205 lbs.,"74""",Orthodox,1996-03-04
Jimmy Flick,Flyweight,16,5,0,The Brick,"5' 7""",125 lbs.,"68""",Orthodox,1990-09-07
Jin Soo Son,Lightweight,9,4,0,NA,"5' 6""",135 lbs.,"69""",Orthodox,1993-04-01
Jinh Yu Frey,Women's Strawweight,10,6,0,NA,"5' 3""",115 lbs.,"65""",Southpaw,1985-05-20
Jiri Prochazka,Light Heavyweight,28,3,1,Denisa,"6' 3""",205 lbs.,"80""",Orthodox,1992-10-14
J.J. Aldrich,Women's Flyweight,9,4,0,NA,"5' 5""",125 lbs.,"67""",Southpaw,1992-09-29
Joanna Jedrzejczyk,Women's Strawweight,16,4,0,NA,"5' 6""",115 lbs.,"65""",Orthodox,1987-08-18
Joanne Calderwood,Women's Flyweight,15,6,0,JoJo,"5' 6""",125 lbs.,"65""",Orthodox,1985-12-23
Joao Marcos Pierini,Welterweight,0,0,0,The Tazmanian Devil,"6' 1""",155 lbs.,,Switch,1971-12-11
Joaquim Silva,Lightweight,11,4,0,Netto BJJ,"5' 8""",155 lbs.,"69""",Southpaw,1989-02-05
Joaquin Buckley,Middleweight,12,4,0,New Mansa,"5' 10""",185 lbs.,"76""",Southpaw,1994-04-27
Joby Sanchez,Bantamweight,11,4,0,NA,"5' 6""",135 lbs.,"68""",Orthodox,1991-06-24
Jodie Esquibel,Women's Strawweight,6,6,0,NA,"5' 1""",115 lbs.,"64""",Orthodox,1986-05-07
Joe Ellenberger,Lightweight,15,2,0,Excalibur,"5' 9""",155 lbs.,"72""",Orthodox,1985-03-28
Joe Lauzon,Lightweight,28,16,0,NA,"5' 10""",155 lbs.,"71""",Orthodox,1984-05-22
Joe Solecki,Lightweight,11,2,0,NA,"5' 9""",155 lbs.,"70""",Orthodox,1993-08-27
Joel Alvarez,Lightweight,18,2,0,El Fenomeno,"6' 3""",155 lbs.,"77""",Orthodox,1994-03-02
John Allan,Light Heavyweight,13,5,0,NA,"6' 1""",205 lbs.,"75""",Orthodox,1993-02-22
John Castaneda,Bantamweight,18,5,0,Sexi Mexi,"5' 6""",135 lbs.,"71""",Switch,1991-12-18
John Dodson,Bantamweight,22,12,0,The Magician,"5' 3""",135 lbs.,"66""",Orthodox,1984-09-26
John Gunther,Lightweight,7,2,0,The Machine,"5' 9""",155 lbs.,"72""",Orthodox,1985-11-24
John Hathaway,Welterweight,17,2,0,The Hitman,"6' 1""",170 lbs.,"75""",Orthodox,1987-07-23
John Lineker,Bantamweight,31,9,0,Hands of Stone,"5' 3""",135 lbs.,"67""",Orthodox,1990-06-12
John Makdessi,Lightweight,18,7,0,The Bull,"5' 8""",155 lbs.,"68""",Orthodox,1985-05-03
John Moraga,Flyweight,19,7,0,Chicano,"5' 6""",125 lbs.,"66""",Orthodox,1984-03-20
John Phillips,Middleweight,22,11,0,The Welsh Wrecking Machine,"5' 11""",185 lbs.,"75""",Southpaw,1985-06-09
Johnny Eduardo,Bantamweight,28,12,0,NA,"5' 7""",135 lbs.,"71""",Orthodox,1978-08-03
Johnny Munoz Jr.,Bantamweight,10,1,0,NA,"5' 9""",145 lbs.,"71""",Orthodox,1993-02-16
Johnny Walker,Light Heavyweight,17,5,0,NA,"6' 6""",205 lbs.,"82""",Orthodox,1992-03-30
Johny Hendricks,Middleweight,18,8,0,Bigg Rigg,"5' 9""",185 lbs.,"69""",Southpaw,1983-09-12
Jon Jones,Light Heavyweight,26,1,0,Bones,"6' 4""",205 lbs.,"84""",Orthodox,1987-07-19
Jon Tuck,Lightweight,10,5,0,The Super Saiyan,"5' 11""",155 lbs.,"73""",Orthodox,1984-08-28
Jonathan Martinez,Bantamweight,13,4,0,Dragon,"5' 8""",135 lbs.,"70""",Southpaw,1994-04-20
